,Community,Latitude,Longitude
0,"Abu Hail, Dubai",25.28594185,55.32944354478134
1,"Al Baraha, Dubai",25.281368,55.319412717201146
2,"Al Buteen, Dubai",25.26305655,55.3205840389995
3,"Al Garhoud, Dubai",25.23983135,55.35566829285183
4,"Al Hudaiba, Dubai",25.2400505,55.27745853149375
5,"Al Jaddaf, Dubai",25.0750095,55.18876088183319
6,"Al Jafiliya, Dubai",25.2333597,55.2920503
7,"Al Karama, Dubai",25.244402800000003,55.30475541735386
8,"Al Kifaf, Dubai",25.2278867,55.2748092
9,"Al Mamzar, Dubai",25.30324735,55.343452510458775
10,"Al Manara, Dubai",25.14371155,55.21357382440539
11,"Al Mankhool, Dubai",25.25082665,55.29561953869013
12,"Al Mina, Dubai",17.066643499999998,-96.7195451078899
13,"Al Muraqqabat, Dubai",25.26630785,55.324221785431625
14,"Al Murar, Dubai",25.27667725,55.30976273508145
15,"Al Mushrif, Dubai",25.2669054,55.2960181
16,"Al Muteena, Dubai",25.2738924,55.32262973029905
17,"Al Quoz First, Dubai",25.1250785,55.21444615
18,"Al Quoz Industrial First, Dubai",25.1250785,55.21444615
19,"Al Qusais First, Dubai",25.2098318,55.2752824
20,"Al Qusais Industrial Fifth, Dubai",14.587385699999999,120.98489513578335
21,"Al Qusais Industrial First, Dubai",42.3397344,-71.0465165
22,"Al Qusais Industrial Fourth, Dubai",43.68712975,-92.98040945
23,"Al Qusais Industrial Second, Dubai",14.6257844,121.07807651851654
24,"Al Qusais Industrial Third, Dubai",25.3260017,55.4331454
25,"Al Qusais Second, Dubai",-6.177421,35.7499542
26,"Al Qusais Third, Dubai",25.3260017,55.4331454
27,"Al Raffa, Dubai",25.25610145,55.28992291565342
28,"Al Ras, Dubai",25.2688852,55.2960747
29,"Al Rashidiya, Dubai",25.224953149999997,55.39050657119131
30,"Al Rigga, Dubai",25.267316049999998,55.31226821381125
31,"Al Sabkha, Dubai",25.2670783,55.3035371
32,"Al Satwa, Dubai",25.2211606,55.273835964673864
33,"Al Shindagha, Dubai",25.275464,55.2948546
34,"Al Wasl, Dubai",25.19889775,55.25704939243696
35,"Ayal Nasir, Dubai",25.2753073,55.3031201
36,"Business Bay, Dubai",25.1888276,55.26502162117366
37,"Downtown Dubai, Dubai",25.1951735,55.2735318
38,"Emirates Hill First, Dubai",25.0778555,55.17883769072949
39,"Emirates Hill Second, Dubai",25.3174709,55.413125314513344
40,"Emirates Hill Third, Dubai",25.310741649999997,55.42107915036722
41,"Hatta, Dubai",24.799096,56.114941
42,"Hor Al Anz, Dubai",25.277041699999998,55.33729994920512
43,"Hor Al Anz East, Dubai",25.2820822,55.34762334358837
44,"Jebel Ali 1, Dubai",24.9775987,55.0910742
45,"Jebel Ali 2, Dubai",25.0287816,55.1238225
46,"Jebel Ali Industrial, Dubai",24.935280900000002,55.075636164629884
47,"Jebel Ali Palm, Dubai",24.98381405,55.02440651136189
48,"Palm Jumeira, Dubai",25.1214019,55.1290981
49,"Jumeira Second, Dubai",25.3063769,55.3891306
50,"Marsa Dubai, Dubai",25.0877537,55.14617209862042
51,"Mirdif, Dubai",25.22133505,55.42349901153393
52,"Nad Shamma, Dubai",25.21757675,55.38378549529918
53,"Naif, Dubai",25.2727748,55.31135107385073
54,"Port Saeed, Dubai",25.246646900000002,55.33387075400082
55,"Arabian Ranches, Dubai",25.049330050000002,55.26583861482074
56,"Ras Al Khor, Dubai",25.802717,51.5924652
57,"Rigga Al Buteen, Dubai",25.265992349999998,55.31742845625631
58,"Trade Centre 1, Dubai",42.2164252,43.0624827
59,"Trade Centre 2, Dubai",25.2280119,55.2897019
60,"Umm Al Sheif, Dubai",25.1327524,55.20585675122375
61,"Umm Ramool, Dubai",25.22999575,55.365626333936675
62,"Wadi Alamardi, Dubai",25.195743649999997,55.49435687283934
63,"Za'abeel First, Dubai",25.2098318,55.2752824
64,"Za'abeel Second, Dubai",-6.177421,35.7499542
